2023-01-29 00:00:34.418  INFO 22852 --- [restartedMain] com.mrtark.BlogApplication               : Starting BlogApplication using Java 19.0.1 on DESKTOP-2OEIC60 with PID 22852 (C:\Users\WORKSTATION\Desktop\eco zip\projem\Blog\target\classes started by WORKSTATION in C:\Users\WORKSTATION\Desktop\eco zip\projem\Blog)
2023-01-29 00:00:34.422  INFO 22852 --- [restartedMain] com.mrtark.BlogApplication               : No active profile set, falling back to 1 default profile: "default"
2023-01-29 00:00:34.423 DEBUG 22852 --- [restartedMain] o.s.boot.SpringApplication               : Loading source class com.mrtark.BlogApplication
2023-01-29 00:00:34.465 DEBUG 22852 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/C:/Users/WORKSTATION/Desktop/eco%20zip/projem/Blog/target/classes/]
2023-01-29 00:00:34.465 DEBUG 22852 --- [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2023-01-29 00:00:34.465 DEBUG 22852 --- [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2023-01-29 00:00:34.465  INFO 22852 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-01-29 00:00:34.465  INFO 22852 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-01-29 00:00:34.466 DEBUG 22852 --- [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5d2522ab
2023-01-29 00:00:34.478 DEBUG 22852 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-01-29 00:00:34.487 DEBUG 22852 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-01-29 00:00:34.526 DEBUG 22852 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\WORKSTATION\Desktop\eco zip\projem\Blog\target\classes\com\mrtark\auditing\AuditorAwareBean.class]
2023-01-29 00:00:34.526 DEBUG 22852 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\WORKSTATION\Desktop\eco zip\projem\Blog\target\classes\com\mrtark\bean\ModelMapperBean.class]
